Machine Serial,Volume,Drawing P/N,E.C.,Page,Run,Machine,Frame,Gate,Panel,Row,Column,Double Card Height,Card Type,Card P/N,MF 1 Feature Code,Crossed Out,Sheet,Sheet Coordinate,Ignore,Special EC,,Bottom Note?,Notes
Ohio - 2010,II,5327099,255117,11.04.07.0,8848,1411,D,D,2,A,01,,CONN,,,,11.04.07.3,5A,,,,,From 11D1A28  - Sheet Missing
,,,,,,,,,,B,01,,CONN,,,,11.04.07.3,4A,,,,,From 11D1B28 - Sheet Missing
,,,,,,,,,,C,01,,CONN,,,,11.04.07.3,2A,,,,,From 11D1C28 - Sheet Missing
,,,,,,,,,,D,01,,CONN,,,,11.04.07.3,5B,,,,,From 11D1D28 - Sheet Missing
,,,,,,,,,,E,01,,CONN,,,,11.04.07.3,3B,,,,,From 11D1E28 - Sheet Missing
,,,,,,,,,,F,01,,CONN,,,,11.04.07.3,1B,,,,,From 11D1F28 - Sheet Missing
,,,,,,,,,,G,01,,CONN,,,,11.04.07.3,4C,,,,,From 11D1G28 - Sheet Missing
,,,,,,,,,,H,01,,CONN,,,,11.04.07.3,2C,,,,,From 11D1H28 - Sheet Missing
,,,,,,,,,,J,01,,CONN,,,,11.04.07.3,5D,,,,,From 11D1J28 - Sheet Missing
,,,,,,,,,,K,01,,CONN,,,,11.04.07.3,4D,,,,,From 11D1K28 - Sheet Missing
,,,,,,,,,,B,02,,CONN,,,,11.04.07.3,3A,,,,,From 11D1B27 - Sheet Missing
,,,,,,,,,,C,02,,CONN,,,,11.04.07.3,1A,,,,,From 11D1C27 - Sheet Missing
,,,,,,,,,,D,02,,CABL,,,,11.04.07.3,4B,,,,,From 11C1E27 - Sheet Missing
,,,,,,,,,,E,02,,CONN,,,,11.04.07.3,2B,,,,,From 11D1E27 - Sheet Missing
,,,,,,,,,,F,02,,CONN,,,,11.04.07.3,5C,,,,,From 11D1F27 - Sheet Missing
,,,,,,,,,,G,02,,CONN,,,,11.04.07.3,3C,,,,,From 11D1G27 - Sheet Missing
,,,,,,,,,,H,02,,CABL,,,,11.04.07.3,1C,,,,,From 11C3F27 - Sheet Missing
,,,,,,,,,,K,02,,CABL,,,,11.04.07.3,3D,,,,,From 11D3A08 - Sheet Missing
,,,,,,,,,,B,03,,DHL,0370265,,,18.11.01.1,1B,,,,,Added - Chart Page Missing
,,,,,,,,,,B,03,,DHL,0370265,,,18.11.01.1,2B,,,,,Added - Chart Page Missing
,,,,,,,,,,B,03,,DHL,0370265,,,18.11.01.1,4B,,,,,Added - Chart Page Missing
,,,,,,,,,,B,03,,DHL,0370265,,,18.11.01.1,5B,,,,,Added - Chart Page Missing
,,,,,,,,,,B,03,,DHL,0370265,,,18.11.01.1,2C,,,,,Added - Chart Page Missing
,,,,,,,,,,B,03,,DHL,0370265,,,18.11.01.1,5C,,,,,Added - Chart Page Missing
,,,,,,,,,,B,03,,DHL,0370265,,,18.11.01.1,4D,,,,,Added - Chart Page Missing
,,,,,,,,,,B,03,,DHL,0370265,,,18.11.01.1,5D,,,,,Added - Chart Page Missing
