Volume Set,Volume,Part Number,E.C.,Card Code,Gate Number,T##,Logic Family,IBM +,IBM -,Logic,Latch,O.C.,Input Lev.,Output Lev.,Defining Pin,A,B,C,D,E,F,G,H,J,K,L,M,N,P,Q,R,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,Name
1410 SMS,I,370083,113628,DAW,1,,SDTRL,+A,-O,NAND,,OC,S,,P,,,,O,,,,,,,,,,P,Q,R,,,,,,,,,,,,,"SDTRL - INVERTER, 3 WAY, UNLOADED COLLECTORS"
,,370083,113628,DAW,2,,SDTRL,+A,-O,NAND,,OC,S,,A,A,B,,,O,,,,,K,,,,,,,,,,,,,,,,,,,
,,370083,113628,DAW,3,,SDTRL,+A,-O,NAND,,OC,S,,F,,,O,,,F,G,H,,,,,,,,,,,,,,,,,,,,,
,,370083,113628,DAW,4,,SDTRL,L,L,1K Ohm,,,S,,L,,,,,,,,,,,O,-12,,,,,,,,,,,,,,,,,
,,370084,119692,DAX,1,,SDTRL,+A,-O,NAND,,OC,S,,B,,B,,D,,,O,,,,,,,,,,,,,,,,,,,,,,"SDTRL - INVERTER, 2 WAY, UNLOADED COLLECTORS"
,,370084,119692,DAX,2,,SDTRL,+A,-O,NAND,,OC,S,,E,,,O,,E,F,,,,,,,,,,,,,,,,,,,,,,,
,,370084,119692,DAX,3,,SDTRL,+A,-O,NAND,,OC,S,,Q,,,,,,,,,,O,,,,,Q,R,,,,,,,,,,,,,
,,370084,119692,DAX,4,,SDTRL,+A,-O,NAND,,OC,S,,A,A,,,,,,,H,,,,,,O,,,,,,,,,,,,,,,
,,370084,119692,DAX,5,,SDTRL,L,L,1K Ohm,,,S,,L,,,,,,,,,,,O,-12,,,,,,,,,,,,,,,,,
,,370126,117838,ABN,1,,RELAY,D,D,NOT,,OC,S,,D,O,,,D,,,,,,,,,,,,,,,,,,,,,,,,,ALLOY - FUNCTIONAL COIL DRIVER - 750 MA
,,370126,117838,ABN,2,,RELAY,D,D,NOT,,OC,S,,F,,,O,,,F,,,,,,,,,,,,,,,,,,,,,,,
,,370126,117838,ABN,3,,RELAY,D,D,NOT,,OC,S,,E,,O,,,E,,,,,,,,,,,,,,,,,,,,,,,,
,,370126,117838,ABN,4,,RELAY,D,D,NOT,,OC,S,,H,,,,,,,O,H,,,,,,,,,,,,,,,,,,,,,
,,370129,119692,TAU,1,,SDTRL,+A,-O,NAND,,,S,,B,,B,,D,,,O,,,,,,,,,,,,,,,,,,,,,,SDTRL - 2 WAY INVERTER NUMBER 2
,,370129,119692,TAU,2,,SDTRL,+A,-O,NAND,,,S,,E,,,O,,E,F,,,,,,,,,,,,,,,,,,,,,,,
,,370129,119692,TAU,3,,SDTRL,+A,-O,NAND,,,S,,Q,,,,,,,,,,O,,,,,Q,R,,,,,,,,,,,,,
,,370129,119692,TAU,4,,SDTRL,+A,-O,NAND,,OC,S,,A,A,,,,,,,H,,,,,,O,,,,,,,,,,,,,,,
,,370129,119692,TAU,5,,SDTRL,L,L,1K Ohm,,,S,,L,,,,,,,,,,,O,-12,,,,,,,,,,,,,,,,,
,,370200,116193,DEU,1,,SDTRL,+A,-O,NAND,,,S,,G,,,,,,,G,H,,,,,,,,,,,O,,,,,,,,,,MUP NUMBER 6 WITHOUT LOADS
,,370200,116193,DEU,2,,SDTRL,+A,-O,NAND,,,S,,A,A,B,,,,,,,,,,,,,,,,,O,,,,,,,,,,
,,370200,116193,DEU,3,,SDTRL,+A,-O,NAND,,OC,S,,F,,,,,,O,,,,,,,,,,,G1,G2,,,,G6,,,,,,,
,,370200,116193,DEU,4,,SDTRL,+A,-O,NAND,,,S,,K,,,O,,,,,,,K,L,,,,,,,,,,,,,,,,,,
,,370200,116193,DEU,5,,SDTRL,+A,-O,NAND,,,S,,E,,,,O,E,,,,,,,,,P,,,,,,,,,,,,,,,
,,370200,116193,DEU,6,,SDTRL,+A,-O,NAND,,,S,,Q,,,,,,,,,,,,,,,Q,R,,,O,,,,,,,,,,
,,370201,116193,DFE,1,,SDTRL,+A,-O,NAND,,,S,,D,,,O,D,E,,,,,,,,,,,,,,,,,,,,,,,,MUP NUMBER 16
,,370201,116193,DFE,2,,SDTRL,+A,-O,NAND,,,S,,P,,,,,,,,,,,,,,P,Q,O,,,,,,,,,,,,,
